# Time(s)	Traffic(Mbps)
9.87	797.272
9.88	797.272
9.89	797.272
9.9	797.272
9.91	797.272
9.92	797.272
9.93	797.272
9.94	797.272
9.95	797.272
9.96	797.272
9.97	797.272
9.98	797.272
9.99	797.272
10	797.272
10.01	797.272
10.02	797.272
10.03	797.272
10.04	797.272
10.05	797.272
10.06	797.272
10.07	797.272
10.08	797.272
10.09	797.272
10.1	797.272
10.11	797.272
10.12	797.272
10.13	797.272
10.14	797.272
10.15	797.272
10.16	797.272
10.17	797.272
10.18	797.272
10.19	797.272
10.2	797.272
10.21	797.272
10.22	797.272
10.23	797.272
10.24	797.272
10.25	797.272
10.26	797.272
10.27	797.272
10.28	797.272
10.29	797.272
10.3	797.272
10.31	797.272
10.32	797.272
10.33	797.272
10.34	797.272
10.35	797.272
10.36	797.272
10.37	797.272
10.38	797.272
10.39	797.272
10.4	797.272
10.41	797.272
10.42	797.272
10.43	797.272
10.44	797.272
10.45	797.272
10.46	797.272
10.47	797.272
10.48	797.272
10.49	797.272
10.5	797.272
10.51	797.272
10.52	797.272
10.53	797.272
10.54	797.272
10.55	797.272
10.56	797.272
10.57	797.272
10.58	797.272
10.59	797.272
10.6	797.272
10.61	797.272
10.62	797.272
10.63	797.272
10.64	797.272
10.65	797.272
10.66	797.272
10.67	797.272
10.68	797.272
10.69	797.272
10.7	797.272
10.71	797.272
10.72	797.272
10.73	797.272
10.74	797.272
10.75	797.272
10.76	797.272
10.77	797.272
10.78	797.272
10.79	797.272
10.8	797.272
10.81	797.272
10.82	797.272
10.83	797.272
10.84	797.272
10.85	797.272
10.86	797.272
10.87	797.272
10.88	797.272
10.89	797.272
10.9	797.272
10.91	797.272
10.92	797.272
10.93	797.272
10.94	797.272
10.95	797.272
10.96	797.272
10.97	797.272
10.98	797.272
10.99	797.272
11	797.272
11.01	797.272
11.02	797.272
11.03	797.272
11.04	797.272
11.05	797.272
11.06	797.272
11.07	797.272
11.08	797.272
11.09	797.272
11.1	797.272
11.11	797.272
11.12	797.272
11.13	797.272
11.14	797.272
11.15	797.272
11.16	797.272
11.17	797.272
11.18	797.272
11.19	797.272
11.2	797.272
11.21	797.272
11.22	797.272
11.23	797.272
11.24	797.272
11.25	797.272
11.26	797.272
11.27	797.272
11.28	797.272
11.29	797.272
11.3	797.272
11.31	797.272
11.32	797.272
11.33	797.272
11.34	797.272
11.35	797.272
11.36	797.272
11.37	797.272
11.38	797.272
11.39	797.272
11.4	797.272
11.41	797.272
11.42	797.272
11.43	797.272
11.44	797.272
11.45	797.272
11.46	797.272
11.47	797.272
11.48	797.272
11.49	797.272
11.5	797.272
11.51	797.272
11.52	797.272
11.53	797.272
11.54	797.272
11.55	797.272
11.56	797.272
11.57	797.272
11.58	797.272
11.59	797.272
11.6	797.272
11.61	797.272
11.62	797.272
11.63	797.272
11.64	797.272
11.65	797.272
11.66	797.272
11.67	797.272
11.68	797.272
11.69	797.272
11.7	797.272
11.71	797.272
11.72	797.272
11.73	797.272
11.74	797.272
11.75	797.272
11.76	797.272
11.77	797.272
11.78	797.272
11.79	797.272
11.8	797.272
11.81	797.272
11.82	797.272
11.83	797.272
11.84	797.272
11.85	797.272
11.86	797.272
11.87	797.272
11.88	797.272
11.89	797.272
11.9	797.272
11.91	797.272
11.92	797.272
11.93	797.272
11.94	797.272
11.95	797.272
11.96	797.272
11.97	797.272
11.98	797.272
11.99	797.272
12	797.272
12.01	797.272
12.02	797.272
12.03	797.272
12.04	797.272
12.05	797.272
12.06	797.272
12.07	797.272
12.08	797.272
12.09	797.272
12.1	797.272
12.11	797.272
12.12	797.272
12.13	797.272
12.14	797.272
12.15	797.272
12.16	797.272
12.17	797.272
12.18	797.272
12.19	797.272
12.2	797.272
12.21	797.272
12.22	797.272
12.23	797.272
12.24	797.272
12.25	797.272
12.26	797.272
12.27	797.272
12.28	797.272
12.29	797.272
12.3	797.272
12.31	797.272
12.32	797.272
12.33	797.272
12.34	797.272
12.35	797.272
12.36	797.272
12.37	797.272
12.38	797.272
12.39	797.272
12.4	797.272
12.41	797.272
12.42	797.272
12.43	797.272
12.44	797.272
12.45	797.272
12.46	797.272
12.47	797.272
12.48	797.272
12.49	797.272
12.5	797.272
12.51	797.272
12.52	797.272
12.53	797.272
12.54	797.272
12.55	797.272
12.56	797.272
12.57	797.272
12.58	797.272
12.59	797.272
12.6	797.272
12.61	797.272
12.62	797.272
12.63	797.272
12.64	797.272
12.65	797.272
12.66	797.272
12.67	797.272
12.68	797.272
12.69	797.272
12.7	797.272
12.71	797.272
12.72	797.272
12.73	797.272
12.74	797.272
12.75	797.272
12.76	797.272
12.77	797.272
12.78	797.272
12.79	797.272
12.8	797.272
12.81	797.272
12.82	797.272
12.83	797.272
12.84	797.272
12.85	797.272
12.86	797.272
12.87	797.272
12.88	797.272
12.89	797.272
12.9	797.272
12.91	797.272
12.92	797.272
12.93	797.272
12.94	797.272
12.95	797.272
12.96	797.272
12.97	797.272
12.98	797.272
12.99	797.272
13	797.272
13.01	797.272
13.02	797.272
13.03	797.272
13.04	797.272
13.05	797.272
13.06	797.272
13.07	797.272
13.08	797.272
13.09	797.272
13.1	797.272
13.11	797.272
13.12	797.272
13.13	797.272
13.14	797.272
13.15	797.272
13.16	797.272
13.17	797.272
13.18	797.272
13.19	797.272
13.2	797.272
13.21	797.272
13.22	797.272
13.23	797.272
13.24	797.272
13.25	797.272
13.26	797.272
13.27	797.272
13.28	797.272
13.29	797.272
13.3	797.272
13.31	797.272
13.32	797.272
13.33	797.272
13.34	797.272
13.35	797.272
13.36	797.272
13.37	797.272
13.38	797.272
13.39	797.272
13.4	797.272
13.41	797.272
13.42	797.272
13.43	797.272
13.44	797.272
13.45	797.272
13.46	797.272
13.47	797.272
13.48	797.272
13.49	797.272
13.5	797.272
13.51	797.272
13.52	797.272
13.53	797.272
13.54	797.272
13.55	797.272
13.56	797.272
13.57	797.272
13.58	797.272
13.59	797.272
13.6	797.272
13.61	797.272
13.62	797.272
13.63	797.272
13.64	797.272
13.65	797.272
13.66	797.272
13.67	797.272
13.68	797.272
13.69	797.272
13.7	797.272
13.71	797.272
13.72	797.272
13.73	797.272
13.74	797.272
13.75	797.272
13.76	797.272
13.77	797.272
13.78	797.272
13.79	797.272
13.8	797.272
13.81	797.272
13.82	797.272
13.83	797.272
13.84	797.272
13.85	797.272
13.86	797.272
13.87	797.272
13.88	797.272
13.89	797.272
13.9	797.272
13.91	797.272
13.92	797.272
13.93	797.272
13.94	797.272
13.95	797.272
13.96	797.272
13.97	797.272
13.98	797.272
13.99	797.272
14	797.272
14.01	797.272
14.02	797.272
14.03	797.272
14.04	797.272
14.05	797.272
14.06	797.272
14.07	797.272
14.08	797.272
14.09	797.272
14.1	797.272
14.11	797.272
14.12	797.272
14.13	797.272
14.14	797.272
14.15	797.272
14.16	797.272
14.17	797.272
14.18	797.272
14.19	797.272
14.2	797.272
14.21	797.272
14.22	797.272
14.23	797.272
14.24	797.272
14.25	797.272
14.26	797.272
14.27	797.272
14.28	797.272
14.29	797.272
14.3	797.272
14.31	797.272
14.32	797.272
14.33	797.272
14.34	797.272
14.35	797.272
14.36	797.272
14.37	797.272
14.38	797.272
14.39	797.272
14.4	797.272
14.41	797.272
14.42	797.272
14.43	797.272
14.44	797.272
14.45	797.272
14.46	797.272
14.47	797.272
14.48	797.272
14.49	797.272
14.5	797.272
14.51	797.272
14.52	797.272
14.53	797.272
14.54	797.272
14.55	797.272
14.56	797.272
14.57	797.272
14.58	797.272
14.59	797.272
14.6	797.272
14.61	797.272
14.62	797.272
14.63	797.272
14.64	797.272
14.65	797.272
14.66	797.272
14.67	797.272
14.68	797.272
14.69	797.272
14.7	797.272
14.71	797.272
14.72	797.272
14.73	797.272
14.74	797.272
14.75	797.272
14.76	797.272
14.77	797.272
14.78	797.272
14.79	797.272
14.8	797.272
14.81	797.272
14.82	797.272
14.83	797.272
14.84	797.272
14.85	797.272
14.86	797.272
14.87	797.272
14.88	797.272
14.89	797.272
14.9	797.272
14.91	797.272
14.92	797.272
14.93	797.272
14.94	797.272
14.95	797.272
14.96	797.272
14.97	797.272
14.98	797.272
14.99	797.272
15	797.272
15.01	797.272
15.02	797.272
15.03	797.272
15.04	797.272
15.05	797.272
15.06	797.272
15.07	797.272
15.08	797.272
15.09	797.272
15.1	797.272
15.11	797.272
15.12	797.272
15.13	797.272
15.14	797.272
15.15	797.272
15.16	797.272
15.17	797.272
15.18	797.272
15.19	797.272
15.2	797.272
15.21	797.272
15.22	797.272
15.23	797.272
15.24	797.272
15.25	797.272
15.26	797.272
15.27	797.272
15.28	797.272
15.29	797.272
15.3	797.272
15.31	797.272
15.32	797.272
15.33	797.272
15.34	797.272
15.35	797.272
15.36	797.272
15.37	797.272
15.38	797.272
15.39	797.272
15.4	797.272
15.41	797.272
15.42	797.272
15.43	797.272
15.44	797.272
15.45	797.272
15.46	797.272
15.47	797.272
15.48	797.272
15.49	797.272
15.5	797.272
15.51	797.272
15.52	797.272
15.53	797.272
15.54	797.272
15.55	797.272
15.56	797.272
