# Time(s)	Traffic(Mbps)
15.8	680.558
15.81	680.558
15.82	680.598
15.83	680.676
15.84	680.718
15.85	680.718
15.86	680.776
15.87	680.892
15.88	680.966
15.89	680.976
15.9	680.99
15.91	681.003
15.92	681.045
15.93	681.115
15.94	681.156
15.95	681.17
15.96	681.198
15.97	681.24
15.98	681.268
15.99	681.282
16	681.296
16.01	681.31
16.02	681.323
16.03	681.337
16.04	681.344
16.05	681.344
16.06	681.351
16.07	681.365
16.08	681.372
16.09	681.372
16.1	681.377
16.11	681.386
16.12	681.393
16.13	681.393
16.14	681.393
16.15	681.393
16.16	681.398
16.17	681.407
16.18	681.414
16.19	681.414
16.2	681.414
16.21	681.414
16.22	681.419
16.23	681.428
16.24	681.435
16.25	681.435
16.26	681.435
16.27	681.435
16.28	681.474
16.29	681.553
16.3	681.595
16.31	681.595
16.32	681.653
16.33	681.769
16.34	681.843
16.35	681.852
16.36	681.859
16.37	681.859
16.38	681.894
16.39	681.964
16.4	682.005
16.41	682.019
16.42	682.04
16.43	682.068
16.44	682.089
16.45	682.103
16.46	682.11
16.47	682.11
16.48	682.117
16.49	682.131
16.5	682.138
16.51	682.138
16.52	682.142
16.53	682.151
16.54	682.158
16.55	682.158
16.56	682.158
16.57	682.158
16.58	682.163
16.59	682.172
16.6	682.179
16.61	682.179
16.62	682.179
16.63	682.179
16.64	682.184
16.65	682.193
16.66	682.2
16.67	682.2
16.68	682.2
16.69	682.2
16.7	682.24
16.71	682.318
16.72	682.36
16.73	682.36
16.74	682.418
16.75	682.534
16.76	682.608
16.77	682.618
16.78	682.625
16.79	682.625
16.8	682.659
16.81	682.729
16.82	682.771
16.83	682.785
16.84	682.806
16.85	682.833
16.86	682.854
16.87	682.868
16.88	682.875
16.89	682.875
16.9	682.882
16.91	682.896
16.92	682.903
16.93	682.903
16.94	682.908
16.95	682.917
16.96	682.924
16.97	682.924
16.98	682.924
16.99	682.924
17	682.928
17.01	682.938
17.02	682.945
17.03	682.945
17.04	682.945
17.05	682.945
17.06	682.949
17.07	682.959
17.08	682.966
17.09	682.966
17.1	682.966
17.11	682.966
17.12	683.005
17.13	683.084
17.14	683.126
17.15	683.126
17.16	683.184
17.17	683.3
17.18	683.374
17.19	683.383
17.2	683.397
17.21	683.411
17.22	683.453
17.23	683.522
17.24	683.564
17.25	683.578
17.26	683.606
17.27	683.647
17.28	683.675
17.29	683.689
17.3	683.703
17.31	683.717
17.32	683.731
17.33	683.745
17.34	683.752
17.35	683.752
17.36	683.759
17.37	683.773
17.38	683.78
17.39	683.78
17.4	683.784
17.41	683.794
17.42	683.801
17.43	683.801
17.44	683.801
17.45	683.801
17.46	683.805
17.47	683.814
17.48	683.821
17.49	683.821
17.5	683.821
17.51	683.821
17.52	683.826
17.53	683.835
17.54	683.842
17.55	683.842
17.56	683.842
17.57	683.842
17.58	683.882
17.59	683.961
17.6	684.002
17.61	684.002
17.62	684.06
17.63	684.176
17.64	684.25
17.65	684.26
17.66	684.267
17.67	684.267
17.68	684.302
17.69	684.371
17.7	684.413
17.71	684.427
17.72	684.448
17.73	684.475
17.74	684.496
17.75	684.51
17.76	684.517
17.77	684.517
17.78	684.524
17.79	684.538
17.8	684.545
17.81	684.545
17.82	684.55
17.83	684.559
17.84	684.566
17.85	684.566
17.86	684.566
17.87	684.566
